"case_id","label","category","secret_type_truth","secret_type_predicted","score","priority_score","confidence","source","latency_ms","file_path"
"CAL00001","1","deployed-production","password","password","0.84","3.7","0.87","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-000\database.ini"
"CAL00002","1","deployed-production","api_key","api_key","0.87","3.69","0.87","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-001\settings.env"
"CAL00003","1","deployed-production","token","token","0.81","3.46","0.79","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-002\deploy.conf"
"CAL00004","1","deployed-production","password","password","0.85","3.75","0.89","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-003\database.ini"
"CAL00005","1","deployed-production","api_key","api_key","0.86","3.7","0.875","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-004\settings.env"
"CAL00006","1","deployed-production","token","token","0.81","3.51","0.8","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-005\deploy.conf"
"CAL00007","1","deployed-production","password","password","0.85","3.72","0.88","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-006\database.ini"
"CAL00008","1","deployed-production","api_key","api_key","0.89","3.74","0.89","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-007\settings.env"
"CAL00009","1","deployed-production","token","token","0.8","3.49","0.79","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-008\deploy.conf"
"CAL00010","1","deployed-production","password","password","0.85","3.71","0.875","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-009\database.ini"
"CAL00011","1","deployed-production","api_key","api_key","0.88","3.76","0.9","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-010\settings.env"
"CAL00012","1","deployed-production","token","token","0.82","3.52","0.8","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-011\deploy.conf"
"CAL00013","1","deployed-production","password","password","0.85","3.72","0.875","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-012\database.ini"
"CAL00014","1","deployed-production","api_key","api_key","0.89","3.76","0.9","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-013\settings.env"
"CAL00015","1","deployed-production","token","token","0.83","3.55","0.81","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-014\deploy.conf"
"CAL00016","1","deployed-production","password","password","0.85","3.78","0.9","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-015\database.ini"
"CAL00017","1","deployed-production","api_key","api_key","0.89","3.79","0.915","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-016\settings.env"
"CAL00018","1","deployed-production","token","token","0.82","3.47","0.795","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-017\deploy.conf"
"CAL00019","1","deployed-production","password","password","0.85","3.71","0.875","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-018\database.ini"
"CAL00020","1","deployed-production","api_key","api_key","0.87","3.7","0.875","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-019\settings.env"
"CAL00021","1","deployed-production","token","token","0.83","3.49","0.785","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-020\deploy.conf"
"CAL00022","1","deployed-production","password","password","0.84","3.7","0.87","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-021\database.ini"
"CAL00023","1","deployed-production","api_key","api_key","0.86","3.74","0.89","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-022\settings.env"
"CAL00024","1","deployed-production","token","token","0.81","3.51","0.8","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-023\deploy.conf"
"CAL00025","1","deployed-production","password","password","0.85","3.74","0.885","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-024\database.ini"
"CAL00026","1","deployed-production","api_key","api_key","0.87","3.73","0.89","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-025\settings.env"
"CAL00027","1","deployed-production","token","token","0.82","3.5","0.79","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-026\deploy.conf"
"CAL00028","1","deployed-production","password","password","0.86","3.74","0.89","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-027\database.ini"
"CAL00029","1","deployed-production","api_key","api_key","0.87","3.78","0.91","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-028\settings.env"
"CAL00030","1","deployed-production","token","token","0.81","3.48","0.78","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-029\deploy.conf"
"CAL00031","1","deployed-production","password","password","0.86","3.74","0.89","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-030\database.ini"
"CAL00032","1","deployed-production","api_key","api_key","0.87","3.71","0.88","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-031\settings.env"
"CAL00033","1","deployed-production","token","token","0.82","3.54","0.805","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-032\deploy.conf"
"CAL00034","1","deployed-production","password","password","0.86","3.79","0.91","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-033\database.ini"
"CAL00035","1","deployed-production","api_key","api_key","0.89","3.69","0.875","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-034\settings.env"
"CAL00036","1","deployed-production","token","token","0.81","3.48","0.785","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-035\deploy.conf"
"CAL00037","1","deployed-production","password","password","0.85","3.73","0.885","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-036\database.ini"
"CAL00038","1","deployed-production","api_key","api_key","0.87","3.71","0.88","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-037\settings.env"
"CAL00039","1","deployed-production","token","token","0.8","3.5","0.795","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-038\deploy.conf"
"CAL00040","1","deployed-production","password","password","0.85","3.69","0.865","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-039\database.ini"
"CAL00041","1","deployed-production","api_key","api_key","0.89","3.72","0.88","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-040\settings.env"
"CAL00042","1","deployed-production","token","token","0.82","3.49","0.79","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-041\deploy.conf"
"CAL00043","1","deployed-production","password","password","0.84","3.7","0.865","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-042\database.ini"
"CAL00044","1","deployed-production","api_key","api_key","0.89","3.74","0.895","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-043\settings.env"
"CAL00045","1","deployed-production","token","token","0.83","3.56","0.815","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-044\deploy.conf"
"CAL00046","1","deployed-production","password","password","0.85","3.76","0.895","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-045\database.ini"
"CAL00047","1","deployed-production","api_key","api_key","0.86","3.74","0.895","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-046\settings.env"
"CAL00048","1","deployed-production","token","token","0.83","3.55","0.81","jev",,"\\localhost\SharpML2CalibrationLow\Operations\Deploy\service-047\deploy.conf"
"CAL00049","1","deployed-production","password","password","0.85","3.75","0.89","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\ERP\node-048\database.ini"
"CAL00050","1","deployed-production","api_key","api_key","0.9","3.79","0.91","jev",,"\\localhost\SharpML2CalibrationLow\Platform\Production\Apps\app-049\settings.env"
"CAL00901","0","test-fixture","token","token","0.14","0.89","0.545","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-050\fixture.yaml"
"CAL00902","0","hard-negative-production-path","password","password","0.43","2.33","0.65","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-051\legacy.ini"
"CAL00903","0","placeholder","password","non_secret","0.05","0.01","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-052\example.conf"
"CAL00904","0","documentation-random-looking","api_key","non_secret","0.1","0.24","0.7","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-053\walkthrough.env"
"CAL00905","0","test-fixture","token","token","0.14","0.8","0.6","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-054\fixture.yaml"
"CAL00906","0","hard-negative-production-path","password","password","0.46","2.51","0.645","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-055\legacy.ini"
"CAL00907","0","placeholder","password","non_secret","0.05","0.01","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-056\example.conf"
"CAL00908","0","documentation-random-looking","api_key","non_secret","0.1","0.29","0.695","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-057\walkthrough.env"
"CAL00909","0","test-fixture","token","token","0.14","0.87","0.57","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-058\fixture.yaml"
"CAL00910","0","hard-negative-production-path","password","password","0.44","2.4","0.65","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-059\legacy.ini"
"CAL00911","0","placeholder","password","non_secret","0.04","0.01","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-060\example.conf"
"CAL00912","0","documentation-random-looking","api_key","non_secret","0.11","0.23","0.715","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-061\walkthrough.env"
"CAL00913","0","test-fixture","token","token","0.14","0.78","0.615","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-062\fixture.yaml"
"CAL00914","0","hard-negative-production-path","password","password","0.45","2.41","0.63","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-063\legacy.ini"
"CAL00915","0","placeholder","password","non_secret","0.05","0.01","0.98","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-064\example.conf"
"CAL00916","0","documentation-random-looking","api_key","non_secret","0.11","0.3","0.69","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-065\walkthrough.env"
"CAL00917","0","test-fixture","token","token","0.15","0.97","0.53","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-066\fixture.yaml"
"CAL00918","0","hard-negative-production-path","password","password","0.43","2.31","0.66","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-067\legacy.ini"
"CAL00919","0","placeholder","password","non_secret","0.05","0.01","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-068\example.conf"
"CAL00920","0","documentation-random-looking","api_key","non_secret","0.11","0.24","0.685","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-069\walkthrough.env"
"CAL00921","0","test-fixture","token","token","0.13","0.87","0.57","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-070\fixture.yaml"
"CAL00922","0","hard-negative-production-path","password","password","0.45","2.4","0.625","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-071\legacy.ini"
"CAL00923","0","placeholder","password","non_secret","0.05","0.01","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-072\example.conf"
"CAL00924","0","documentation-random-looking","api_key","non_secret","0.1","0.24","0.705","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-073\walkthrough.env"
"CAL00925","0","test-fixture","token","token","0.16","0.88","0.585","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-074\fixture.yaml"
"CAL00926","0","hard-negative-production-path","password","password","0.41","2.17","0.66","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-075\legacy.ini"
"CAL00927","0","placeholder","password","non_secret","0.05","0","0.985","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-076\example.conf"
"CAL00928","0","documentation-random-looking","api_key","non_secret","0.1","0.25","0.715","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-077\walkthrough.env"
"CAL00929","0","test-fixture","token","token","0.14","0.85","0.595","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-078\fixture.yaml"
"CAL00930","0","hard-negative-production-path","password","password","0.43","2.33","0.65","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-079\legacy.ini"
"CAL00931","0","placeholder","password","non_secret","0.05","0.01","0.97","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-080\example.conf"
"CAL00932","0","documentation-random-looking","api_key","non_secret","0.12","0.33","0.65","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-081\walkthrough.env"
"CAL00933","0","test-fixture","token","token","0.13","0.81","0.6","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-082\fixture.yaml"
"CAL00934","0","hard-negative-production-path","password","password","0.45","2.34","0.63","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-083\legacy.ini"
"CAL00935","0","placeholder","password","non_secret","0.04","0.01","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-084\example.conf"
"CAL00936","0","documentation-random-looking","api_key","non_secret","0.1","0.24","0.705","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-085\walkthrough.env"
"CAL00937","0","test-fixture","token","token","0.13","0.85","0.595","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-086\fixture.yaml"
"CAL00938","0","hard-negative-production-path","password","password","0.45","2.39","0.635","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-087\legacy.ini"
"CAL00939","0","placeholder","password","non_secret","0.05","0.01","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-088\example.conf"
"CAL00940","0","documentation-random-looking","api_key","non_secret","0.1","0.23","0.67","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-089\walkthrough.env"
"CAL00941","0","test-fixture","token","token","0.15","0.93","0.565","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-090\fixture.yaml"
"CAL00942","0","hard-negative-production-path","password","password","0.45","2.47","0.655","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-091\legacy.ini"
"CAL00943","0","placeholder","password","non_secret","0.05","0.01","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-092\example.conf"
"CAL00944","0","documentation-random-looking","api_key","non_secret","0.1","0.21","0.725","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-093\walkthrough.env"
"CAL00945","0","test-fixture","token","token","0.15","0.93","0.555","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-094\fixture.yaml"
"CAL00946","0","hard-negative-production-path","password","password","0.44","2.38","0.63","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-095\legacy.ini"
"CAL00947","0","placeholder","password","non_secret","0.04","0.01","0.98","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-096\example.conf"
"CAL00948","0","documentation-random-looking","api_key","non_secret","0.1","0.29","0.675","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-097\walkthrough.env"
"CAL00949","0","test-fixture","token","token","0.15","0.79","0.615","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-098\fixture.yaml"
"CAL00950","0","hard-negative-production-path","password","password","0.46","2.54","0.66","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-099\legacy.ini"
"CAL00951","0","placeholder","password","non_secret","0.05","0.01","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-000\example.conf"
